subject,n_trials,kfold_acc,kfold_kappa,kfold_sens,kfold_spec,intersession_acc,intersession_kappa,intersession_sens,intersession_spec
1,396,0.5580808080808081,0.11616161616161613,0.5454545454545454,0.5707070707070707,0.5833333333333334,0.16666666666666663,0.6,0.5666666666666667
2,400,0.7125,0.42500000000000004,0.715,0.71,0.75,0.5,0.8333333333333334,0.6666666666666666
3,396,0.5757575757575758,0.1508870453095087,0.6482412060301508,0.5025380710659898,0.6379310344827587,0.27586206896551724,0.6896551724137931,0.5862068965517241
4,391,0.5498721227621484,0.09954987961896788,0.5918367346938775,0.5076923076923077,0.6551724137931034,0.3176470588235294,0.5,0.8214285714285714
5,399,0.6466165413533834,0.2935924963272686,0.545,0.7487437185929648,0.7627118644067796,0.5258323765786452,0.7333333333333333,0.7931034482758621
6,397,0.5239294710327456,0.047478196844096376,0.55,0.49746192893401014,0.5689655172413793,0.1296518607442978,0.7,0.42857142857142855
7,400,0.705,0.41000000000000003,0.7,0.71,0.9333333333333333,0.8666666666666667,0.9666666666666667,0.9
8,399,0.531328320802005,0.06270962879216135,0.542713567839196,0.52,0.5254237288135594,0.05275229357798161,0.5862068965517241,0.4666666666666667
9,397,0.7682619647355163,0.5366738551312952,0.745,0.7918781725888325,0.8983050847457628,0.7960829493087558,0.9666666666666667,0.8275862068965517
10,399,0.6190476190476191,0.23814787830063056,0.605,0.6331658291457286,0.5333333333333333,0.06666666666666665,0.7,0.36666666666666664
11,398,0.6532663316582915,0.30665522116744093,0.6717171717171717,0.635,0.7,0.4,1.0,0.4
12,399,0.6942355889724311,0.38845197115505414,0.6884422110552764,0.7,0.7457627118644068,0.49572649572649574,1.0,0.5
13,399,0.5989974937343359,0.1978690254812283,0.63,0.5678391959798995,0.65,0.30000000000000004,0.4666666666666667,0.8333333333333334
14,400,0.5175,0.03500000000000003,0.535,0.5,0.6333333333333333,0.2666666666666667,0.5666666666666667,0.7
15,398,0.6884422110552764,0.3769316230683769,0.696969696969697,0.68,0.576271186440678,0.15666094911377926,0.7241379310344828,0.43333333333333335
16,396,0.6035353535353535,0.20759622737700745,0.6377551020408163,0.57,0.7666666666666667,0.5333333333333333,0.7666666666666667,0.7666666666666667
17,397,0.8387909319899244,0.6775634517766498,0.8492462311557789,0.8282828282828283,0.8166666666666667,0.6333333333333333,0.9,0.7333333333333333
18,395,0.8,0.6001870619738883,0.8934010152284264,0.7070707070707071,0.9482758620689655,0.896551724137931,0.896551724137931,1.0
